time,linear,angular
0,0.0,10.0
180059,0.0,10.0
83404297,0.0,10.0
99462455,0.0,10.0
145243749,0.0,10.0
195511442,0.0,10.0
235252336,0.0,10.0
313700524,33.0,54.0
484462479,45.0,71.0
487544406,28.0,48.0
490050253,10.0,31.0
491956182,0.0,10.0
603182969,0.0,10.0
642040114,0.0,10.0
642830299,0.0,10.0
687179507,0.0,10.0
737554525,0.0,10.0
784520330,0.0,10.0
835358311,0.0,10.0
899962964,0.0,10.0
944809758,0.0,10.0
995088555,0.0,10.0
1052398763,0.0,10.0
1085630919,0.0,10.0
1181697444,0.0,10.0
1363138007,0.0,10.0
1363818083,0.0,10.0
1363900000,0.0,10.0
1364681002,0.0,10.0
1389676789,0.0,10.0
1444606492,0.0,10.0
1494682800,0.0,10.0
1566877795,0.0,10.0
1584603265,0.0,10.0
1649033972,0.0,10.0
1704517676,0.0,10.0
1753641883,0.0,10.0
1788120915,0.0,10.0
1837555354,0.0,10.0
1889861677,0.0,10.0
1935636126,0.0,10.0
1988329862,0.0,10.0
2034741316,0.0,10.0
2085224716,0.0,10.0
2160554181,0.0,10.0
2185268409,0.0,10.0
2234392298,0.0,10.0
2287707617,0.0,10.0
2334468887,0.0,10.0
2384326578,0.0,10.0
2435023542,0.0,10.0
2485182025,0.0,10.0
2534321241,0.0,10.0
2584354288,0.0,10.0
2635036979,0.0,10.0
2685718583,0.0,10.0
2738262757,0.0,10.0
2786757672,0.0,10.0
2835486757,0.0,10.0
2885459453,0.0,10.0
2935249595,0.0,10.0
2984479368,0.0,10.0
3037690915,0.0,10.0
3086454654,0.0,10.0
3135152060,0.0,10.0
3185621575,0.0,10.0
3234505152,0.0,10.0
3287659966,0.0,10.0
3335224381,0.0,10.0
3385231862,0.0,10.0
3435175120,0.0,10.0
3486595680,0.0,10.0
3541007385,0.0,10.0
3594940609,0.0,10.0
3638112735,0.0,10.0
3687201714,0.0,10.0
3735130183,14.0,31.0
3785460823,22.0,37.0
3839346111,25.0,42.0
3886485163,25.0,42.0
3935185161,20.0,37.0
3985061766,10.0,28.0
4036332154,7.0,25.0
4086008796,5.0,20.0
4136057460,1.0,16.0
4185233062,5.0,20.0
4235346237,7.0,25.0
4288157350,7.0,25.0
4341624764,7.0,25.0
4385080659,7.0,25.0
4435071886,7.0,22.0
4486152009,1.0,16.0
4535352154,0.0,14.0
4585255831,0.0,14.0
4635330831,0.0,10.0
4686565958,0.0,10.0
4735927219,0.0,10.0
4785175491,0.0,10.0
4835157725,0.0,10.0
4886635437,0.0,10.0
4935571238,0.0,10.0
4985040368,0.0,10.0
5037056399,0.0,10.0
5088165034,0.0,10.0
5135993635,0.0,10.0
5185458734,0.0,10.0
5235210801,0.0,10.0
5286232335,0.0,10.0
5334951599,0.0,10.0
5388342729,0.0,10.0
5435096194,0.0,10.0
5485812329,0.0,10.0
5534917119,0.0,10.0
5584875036,0.0,10.0
5635368521,0.0,10.0
5687234479,0.0,10.0
5735181254,0.0,10.0
5785387803,0.0,10.0
5836239902,0.0,10.0
5887579027,0.0,10.0
5936901314,0.0,10.0
5987763589,0.0,10.0
6037625605,0.0,10.0
6086036014,0.0,10.0
6136633049,0.0,10.0
6186482874,0.0,10.0
6235706701,0.0,10.0
6285833927,0.0,10.0
6337327032,0.0,10.0
6384983449,0.0,10.0
6437108793,0.0,10.0
6485860154,0.0,10.0
6534802965,0.0,10.0
6593832909,0.0,10.0
6635019593,0.0,10.0
6685680594,0.0,10.0
6735635473,0.0,10.0
6785209370,0.0,10.0
6835576364,0.0,10.0
6887551024,0.0,10.0
6935343437,0.0,10.0
6988860132,0.0,10.0
7037723618,0.0,10.0
7085804886,0.0,10.0
7134973707,0.0,10.0
7185545209,0.0,10.0
7234898090,0.0,10.0
