bag_name,duration_ms,duration_s,starting_time_ns,total_message_count,topic_name,topic_type,topic_message_count
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/global_map_throttle,grid_map_msgs/msg/GridMap,12
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/boat_mark,visualization_msgs/msg/Marker,244
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/lidar_points,sensor_msgs/msg/PointCloud2,517
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/fused_detection,l1_interfaces/msg/VectorOfFusedDetections,216
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/costmap_throttle,nav_msgs/msg/OccupancyGrid,170
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/odom,nav_msgs/msg/Odometry,255
lidar_bag,63702930867,63.70293087,1.76331E+18,1414,/path,nav_msgs/msg/Path,0
core_bag,81358433078,81.35843308,1.76331E+18,3524,/trajectory_throttle,geometry_msgs/msg/PoseArray,223
core_bag,81358433078,81.35843308,1.76331E+18,3524,/path,nav_msgs/msg/Path,1487
core_bag,81358433078,81.35843308,1.76331E+18,3524,/costmap_throttle,nav_msgs/msg/OccupancyGrid,216
core_bag,81358433078,81.35843308,1.76331E+18,3524,/odom,nav_msgs/msg/Odometry,322
core_bag,81358433078,81.35843308,1.76331E+18,3524,/boat_mark,visualization_msgs/msg/Marker,319
core_bag,81358433078,81.35843308,1.76331E+18,3524,/global_map_throttle,grid_map_msgs/msg/GridMap,16
core_bag,81358433078,81.35843308,1.76331E+18,3524,/lidar_points,sensor_msgs/msg/PointCloud2,652
core_bag,81358433078,81.35843308,1.76331E+18,3524,/fused_detection,l1_interfaces/msg/VectorOfFusedDetections,289
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/path,nav_msgs/msg/Path,1202
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/trajectory_throttle,geometry_msgs/msg/PoseArray,149
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/odom,nav_msgs/msg/Odometry,216
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/boat_mark,visualization_msgs/msg/Marker,214
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/global_map_throttle,grid_map_msgs/msg/GridMap,11
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/lidar_points,sensor_msgs/msg/PointCloud2,440
core_2_bag,54850529474,54.85052947,1.76331E+18,2397,/fused_detection,l1_interfaces/msg/VectorOfFusedDetections,165
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/filter/euler,geometry_msgs/msg/Vector3Stamped,41001
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/gnss,sensor_msgs/msg/NavSatFix,3287
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/imu/acceleration,geometry_msgs/msg/Vector3Stamped,41013
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/odom,nav_msgs/msg/Odometry,3289
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/thrusters/hl,l0_interfaces/msg/SpeedVector,16518
control_bag,8.25927E+11,825.9265998,1.76331E+18,121628,/thrusters/bb,l0_interfaces/msg/SpeedVector,16520
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/zed/zed_node/rgb/color/rect/image,sensor_msgs/msg/Image,2073
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/zed/zed_node/rgb/color/rect/camera_info,sensor_msgs/msg/CameraInfo,2060
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/odom,nav_msgs/msg/Odometry,666
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/gnss_pose,geometry_msgs/msg/PoseStamped,8372
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/gnss,sensor_msgs/msg/NavSatFix,670
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/imu/data,sensor_msgs/msg/Imu,8373
cam_loc_bag,1.67452E+11,167.4523165,1.7633E+18,30588,/filter/quaternion,geometry_msgs/msg/QuaternionStamped,8374
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/zed/zed_node/rgb/color/rect/image,sensor_msgs/msg/Image,620
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/zed/zed_node/rgb/color/rect/camera_info,sensor_msgs/msg/CameraInfo,621
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/gnss_pose,geometry_msgs/msg/PoseStamped,2912
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/gnss,sensor_msgs/msg/NavSatFix,233
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/filter/velocity,geometry_msgs/msg/Vector3Stamped,2913
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/imu/data,sensor_msgs/msg/Imu,2916
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/filter/quaternion,geometry_msgs/msg/QuaternionStamped,2919
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/odom,nav_msgs/msg/Odometry,234
cam_loc_2_bag,59644797250,59.64479725,1.7633E+18,26991,/from_can_bus,can_msgs/msg/Frame,13623
